Time (s),Area Above Baseline (mV·s),Group,Trial_ID
87.8,-14.12440308,Opsin,140524_F1_C1_t1
88,-14.02481232,Opsin,140524_F1_C1_t1
88.2,-14.07061646,Opsin,140524_F1_C1_t1
88.4,-14.00687195,Opsin,140524_F1_C1_t1
88.6,-13.98509399,Opsin,140524_F1_C1_t1
88.8,-14.07417694,Opsin,140524_F1_C1_t1
89,-14.02897736,Opsin,140524_F1_C1_t1
89.2,-12.74075348,Opsin,140524_F1_C1_t1
89.4,-12.17162964,Opsin,140524_F1_C1_t1
89.6,-13.1746701,Opsin,140524_F1_C1_t1
89.8,-13.93168732,Opsin,140524_F1_C1_t1
90,-14.07348297,Opsin,140524_F1_C1_t1
90.2,-14.19122437,Opsin,140524_F1_C1_t1
90.4,-14.15636749,Opsin,140524_F1_C1_t1
90.6,-14.03118103,Opsin,140524_F1_C1_t1
90.8,-14.10873932,Opsin,140524_F1_C1_t1
91,-14.10453522,Opsin,140524_F1_C1_t1
91.2,-13.33914856,Opsin,140524_F1_C1_t1
91.4,-13.5043573,Opsin,140524_F1_C1_t1
91.6,-14.088013,Opsin,140524_F1_C1_t1
91.8,-14.19755157,Opsin,140524_F1_C1_t1
92,-14.22984589,Opsin,140524_F1_C1_t1
92.2,-14.19931976,Opsin,140524_F1_C1_t1
92.4,-13.79346222,Opsin,140524_F1_C1_t1
92.6,-13.575896,Opsin,140524_F1_C1_t1
92.8,-14.07521729,Opsin,140524_F1_C1_t1
93,-14.23246002,Opsin,140524_F1_C1_t1
93.2,-14.26797424,Opsin,140524_F1_C1_t1
93.4,-14.22598969,Opsin,140524_F1_C1_t1
93.6,-14.2200531,Opsin,140524_F1_C1_t1
93.8,-14.23679382,Opsin,140524_F1_C1_t1
94,-14.13013519,Opsin,140524_F1_C1_t1
94.2,-13.49543396,Opsin,140524_F1_C1_t1
94.4,-13.86754028,Opsin,140524_F1_C1_t1
94.6,-14.28520386,Opsin,140524_F1_C1_t1
94.8,-14.30119476,Opsin,140524_F1_C1_t1
95,-14.29262695,Opsin,140524_F1_C1_t1
95.2,-14.32779907,Opsin,140524_F1_C1_t1
95.4,-14.3594574,Opsin,140524_F1_C1_t1
95.6,-14.31504333,Opsin,140524_F1_C1_t1
95.8,-14.23520569,Opsin,140524_F1_C1_t1
96,-14.26548737,Opsin,140524_F1_C1_t1
96.2,-14.21204132,Opsin,140524_F1_C1_t1
96.4,-14.21963623,Opsin,140524_F1_C1_t1
96.6,-14.31893829,Opsin,140524_F1_C1_t1
96.8,-14.26871399,Opsin,140524_F1_C1_t1
97,-13.91464874,Opsin,140524_F1_C1_t1
97.2,-13.57145508,Opsin,140524_F1_C1_t1
97.4,-13.99515533,Opsin,140524_F1_C1_t1
97.6,-14.27938751,Opsin,140524_F1_C1_t1
97.8,-14.31153778,Opsin,140524_F1_C1_t1
98,-14.34313202,Opsin,140524_F1_C1_t1
98.2,-14.27350403,Opsin,140524_F1_C1_t1
98.4,-14.07596344,Opsin,140524_F1_C1_t1
98.6,-13.36217194,Opsin,140524_F1_C1_t1
98.8,-13.69385284,Opsin,140524_F1_C1_t1
99,-14.21761627,Opsin,140524_F1_C1_t1
99.2,-14.27431732,Opsin,140524_F1_C1_t1
99.4,-14.31749847,Opsin,140524_F1_C1_t1
99.6,-14.36138824,Opsin,140524_F1_C1_t1
99.8,-14.3384758,Opsin,140524_F1_C1_t1
